Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Calculated Eta","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude,"Current Port Unlocode"
Indonesia,"FULL KING",JAKARTA,"2020-07-23 23:00:00",JAKARTA,,JAKARTA,7729746,Cargo,"2020-03-12 06:06:50",-6.109472,106.8936,IDJKT
Indonesia,"BERKAH SELATAN",,,"No data (CLASS B transponder)",,JAKARTA,0,"Pleasure Craft","2017-02-20 06:07:59",-6.111723,106.8676,IDJKT
Indonesia,4005,,"1900-01-01 00:00:00",,,JAKARTA,0,Unspecified,"2017-02-03 02:14:47",-6.111333,106.8719,IDJKT
Indonesia,"ANUGERAH BUANA II",SAMPIT,"2016-12-06 16:00:00",SAMPIT,,JAKARTA,5191581,Cargo,"2016-07-26 16:22:27",-6.099808,106.8106,IDJKT
Indonesia,"CTP JAVA",JAKARTA,"2015-11-18 19:00:00",JAKARTA<-ID,,"JAKARTA ANCH",9037226,Cargo,"2016-01-30 23:35:36",-6.058405,106.878,
Indonesia,"KM BNU",,,"No data (CLASS B transponder)",,JAKARTA,0,"Pleasure Craft","2017-06-26 11:45:00",-6.09442,106.8002,IDJKT
Indonesia,"CTP CHARLIE",,"1900-01-01 00:00:00",,,"JAKARTA ANCH",9001019,Cargo,"2015-12-01 02:15:42",-6.063364,106.8762,
Indonesia,"KM.BUANA SAMUDERA 8",JAKARTA,"2015-12-10 11:00:00",JAKARTA,,JAKARTA,0,Cargo,"2017-04-01 15:11:14",-6.120275,106.8101,IDJKT
Indonesia,"TEST TELKOM 5",,,"No data (CLASS B transponder)",,JAKARTA,0,Fishing,"2017-02-22 21:44:11",-6.117425,106.8927,IDJKT
Indonesia,"MP.AC 01",JAKARTA,"2016-09-29 17:45:00",JAKARTA,,JAKARTA,0,"Pleasure Craft","2016-09-29 18:01:12",-6.12562,106.8858,IDJKT
Indonesia,"MPAX 01",JAKARTA,"2016-10-05 03:15:00","TG.PRIOK JAKARTA.IND",,"JAKARTA ANCH",0,"Pleasure Craft","2016-10-05 03:37:08",-6.00527,106.7938,
Indonesia,TTESTT,,"2016-11-27 19:00:00",,,JAKARTA,0,Cargo,"2016-06-24 08:33:55",-6.104667,106.8868,IDJKT
Indonesia,ISRA,JAKARTA,"2015-08-25 01:00:00",JAKARTA,,"JAKARTA ANCH",0,Cargo,"2015-09-25 04:00:00",-6.04279,106.8873,
